id,state,year,default,amortizacao,aquisicao_titulos,concessao_emprestimos,custeio,desp_cap,desp_cor,desp_previdencia,desp_total,inv_fin,investimentos,juros,pessoal,rec_cor,rec_rpps,rec_tributaria,juros_bacen,net_debt_bacen,nominal_bacen,other_flows_bacen,primario_bacen,gdp,igp_di,inpc,ipca,pop,ativos,contratos,dbp,dcb,deducao_pessoal,dtp,inativos,rcl,dcl,dfl,disp_caixa,nominal,primario,rec_primaria_cap,rec_primaria_cor,rec_primaria,region,rec_primaria_dv,desp_primaria_cor_dv,desp_primaria_cap_dv,desp_primaria_dv,primario_dv,dbp_dv,dtp_dv,desp_cor_dv,desp_cap_dv,desp_total_dv,stn_end,stn_sdrcl,stn_rpsd,stn_dprcl,stn_cgpp,stn_pidt,stn_pcrdp,stn_rtdc,capag_idc,capag_pc,capag_il
ac2008,ac,2008,0,87.46247235,0,0,810.9493386299999,662.9094930699999,2079.2738537,97.50937247,2742.1833467699994,0,575.44702072,49.30720367,1219.0173114,2791.4612756899996,85.98580763,560.1637620299999,63.01916040218173,387.1240247499998,-186.42681195169882,20.44895759169872,-249.44597235388048,6410.2546769273295,1.090961847308258,1.0648096119225634,1.0590272439065465,680073,1014.1975946900001,0,1152.52378832,1011.54597817,132.19759815999998,1020.32619016,138.32619363,2223.25674468,632.0924603200001,632.0924603200001,390.20826158,-162.86080719,215.64104184,346.95179139,2474.1029212,2821.0547125900002,norte,2821.05471259,2029.9666500299998,575.44702072,2605.4136707499997,215.64104184000016,1152.5237883200002,1020.3261901600002,2079.2738537,662.9094930699999,2742.1833467699994,0.2843092512066028,0.06768522489013791,1.4330057289790643,0.5183943739641668,0.34251737486271255,0.2098499436216821,0.8818209516880505,0.6907506244179548,0.4549838792080646,0.7448693169444166,1.6198848731715263
al2008,al,2008,0,333.73055899,0,0,1132.31557349,704.0683928900002,3615.0612897000005,362.35931086000005,4319.129682590001,1.23042305,369.10741085,164.48604532000002,2318.2596708900005,4742.2532034099995,161.90692971000001,1837.0314017599999,951.0454358602872,5739.797748815701,494.96527818016597,17.9663818002058,-456.08015768012115,22262.294598015724,1.090961847308258,1.0648096119225634,1.0590272439065465,3127557,1271.761536,20.296325,1945.466761,6955.421589,327.753496,1617.713265,653.4089,3528.416347,6955.421589,6458.700352,558.311333,565.683035,467.8176,137.428434,4151.302245,4288.730679,nordeste,4288.730679,3450.5752443800006,370.3378339000001,3820.9130782800007,467.8176007199993,1945.466761,1617.713265,3615.0612897000005,704.0683928900002,4319.129682590001,1.9712587475437178,0.36412256052000636,0.36412386429629234,0.5513710882373939,0.31180437159435825,0.08545874701049999,0.4468132178685863,1.6223669838770647,1.9712587475437178,0.7623087875401777,11.568277357536642
am2008,am,2008,0,144.99261481,0,0,3178.78952835,1422.23528111,6361.81115594,297.47248734000004,7784.04643705,11.32496255,1265.91770375,107.57216906000001,3075.4494585300004,8567.71942584,584.32258461,4952.96050598,113.07785301780692,535.6691734779296,-327.26228155331586,146.8401314385954,-440.3401345711229,48115.26464366433,1.090961847308258,1.0648096119225634,1.0590272439065465,3341096,2265.91938983,218.48622833999997,2484.4056181700003,2225.42730386,11.35423335,2473.0513848200003,0,6395.99526973,819.60011237,819.60011237,1622.00059771,-192.16626606,158.39302905000002,142.30518811000002,7547.56949412,7689.87468223,norte,7689.87468223,6254.23898688,1277.2426662999999,7531.481653180001,158.39302904999923,2484.4056181700003,2473.0513848200003,6361.81115594,1422.23528111,7784.04643705,0.1281427014570945,0.04034875839404758,0.6137588325514449,0.38843143457716733,0.3467421801479206,0.16262977282927898,1.9642911848252405,1.5581278539541779,0.34794073635297484,0.7425326203788791,0.5053019792515129
ap2008,ap,2008,0,25.9574003,0,0,800.2280251799999,278.53320370999995,1971.50190508,40.399583390000004,2250.03510879,13.054830800000001,239.52097260999997,6.80671042,1164.4671694799997,2807.98370653,137.03119615,450.27663557,3.0735857272880356,-62.83953866999999,-50.510819929643645,0.7304342296436398,-53.584405656931686,6950.413076483139,1.090961847308258,1.0648096119225634,1.0590272439065465,613164,951.010875,0,968.498332,247.217357,26.927969,941.570363,17.487457,2404.87824,128.167937,128.167937,156.282787,-55.840696,505.414412,6.536605,2350.406874,2356.943479,norte,2356.943479,1964.6951946599997,252.57580340999996,2217.2709980699997,139.67248093000032,968.498332,941.570363,1971.50190508,278.53320370999995,2250.03510879,0.05329497970757971,0.012071707225929257,17.409481425292597,0.40272239812024746,0.42428658034497657,0.10645210453574079,3.391896268512486,0.562685411409725,0.10279828429068409,0.7021058920303734,0.820102709071857
ba2008,ba,2008,0,1457.75467144,0,78.88494005,7056.87243955,2872.9391741199997,17002.08997013,2108.7103244,19875.02914425,213.48176983000002,1201.70273285,565.02731039,9380.190220190001,20172.955352030003,1027.6535458600001,10886.567714359999,1095.8482417925663,9354.56825167907,-568.5111896120882,592.5833962339224,-1664.3594314046547,121667.45463087785,1.090961847308258,1.0648096119225634,1.0590272439065465,14502575,5666.33709484,32.660156959999995,7814.20689615,11498.74812271,1677.87375668,6136.33313947,2115.20964435,14237.78608239,10240.88517393,10240.88517393,1751.27443222,-129.95214137,1437.34561683,119.51930920999999,19106.67060004,19226.18990925,nordeste,19226.18990925,16437.06265974,1336.2995626299999,17773.362222370004,1452.8276868799971,7814.206896150001,6136.33313947,17002.08997013,2872.9391741199997,19875.02914425,0.7192751116408777,0.17935393174582032,0.5628696652019739,0.5488358127402264,0.18649856502763562,0.060462941922158744,0.48733746592358645,1.5426901658795193,0.8076219193187781,0.8428160214224181,5.847675832820879
ce2008,ce,2008,0,435.03817441,0,85.2033885,4044.9149603100004,1622.7462836400005,9202.017900820001,1663.40130204,10824.764184460002,109.54725243,1078.1608568000001,212.11557925,4944.987361260001,11148.68274491,726.41640789,5314.953588089999,214.37429534354106,1373.9194722340592,-1121.3806230239147,433.3701649398242,-1335.754918367456,60415.57367372633,1.090961847308258,1.0648096119225634,1.0590272439065465,8450527,2660.06214503,88.71894970999999,3703.42137621,3809.611863,691.9658635599999,3011.45551265,954.64028147,7886.592912,1857.038165,1857.038165,2251.383883,-654.991104,1380.2432048599999,261.8145232,10945.84896994,11207.663493139999,nordeste,11207.663493140002,8989.902321570002,1102.5047207300001,10092.407042300001,1115.25645084,3703.42137621,3011.45551265,9202.017900820001,1622.7462836400005,10824.764184460002,0.23546773438431026,0.08234385583227136,2.1253721927819105,0.46958444762312845,0.21154760456579083,0.09960132511226476,0.4367054462438624,1.3139840120848088,0.4830491323069827,0.8253905964829109,0.824842968372622
df2008,df,2008,0,96.58329262000001,0,126.48743422,3290.5386331999994,1274.0480682199998,8814.73959972,894.6628031,10088.787667939998,126.48743422,1050.97734138,117.51165229,5406.68931423,11142.56769368,825.54190776,7099.620771180001,136.23231433798503,1389.757699836748,-47.61485717334669,116.5116805584374,-183.84717151133168,110299.55714602853,1.090961847308258,1.0648096119225634,1.0590272439065465,2557158,4113.60334955,103.6825512,5013.38266276,3230.13272804,929.44507599,4083.93758677,796.09676201,9626.476275590001,1543.19556425,1543.19556425,1682.39685222,-8.25388213,1003.79707734,164.61364329,9856.653683940001,10021.26732723,centro-oeste,10021.267327230002,8697.227947429998,1050.9773413799999,9748.205288809997,273.0620384200039,5013.382662759999,4083.9375867699996,8814.73959972,1274.0480682199998,10088.787667939998,0.16030741883851146,0.024184925022704213,4.31155406828525,0.5207910474440693,0.264083591764179,0.10417280806888031,0.9227408414650786,2.1575862077862085,0.33554673959262704,0.7910869237724865,0.9172601352728891
es2008,es,2008,0,222.47326758000003,0,1419.11017588,4501.99929701,2553.4091129000003,7639.360643,1351.7186676699998,10192.769755899999,1542.9990632800002,787.9367820399999,144.53771741999998,2992.8236285699995,10783.97415534,170.478185,7727.33883102,164.45526538208327,416.9132772446979,-1027.862555841313,485.4811824318161,-1192.3178212233963,72091.15809685134,1.090961847308258,1.0648096119225634,1.0590272439065465,3453648,2161.81621106,121.25273944,3312.78863936,3807.1475595300003,1018.94630463,2293.84233473,1029.71968886,7735.57046826,800.39670559,317.15774626,2739.8219561399997,-370.78514545999997,2031.82344257,11.429383679999999,10427.042653909999,10438.47203759,sudeste,10438.47203759,7494.82292558,911.8256694400001,8406.64859502,2031.8234425699998,3312.78863936,2293.84233473,7639.360643,2553.4091129000003,10192.769755899999,0.10346964181557475,0.0500193921766596,5.251159502287485,0.42825395398474886,0.41163307497747625,0.07730350051161602,0.1261195758240571,1.7164238200019504,0.4921611890359213,0.7083993834700677,0.11575852421696332
go2008,go,2008,0,493.99962953,0,0,4201.914246429999,1258.0509412899999,9810.586257629999,1246.0083476099999,11068.637198919998,5.66556307,758.38574869,510.19298847000005,5098.47902273,12135.412706699999,791.2159587799999,7700.905501069999,1371.9554486579455,11356.588547689924,757.0473056487414,134.1306294113705,-614.9081430092042,82417.56379827572,1.090961847308258,1.0648096119225634,1.0590272439065465,5844996,2923.9947687100002,57.4197108,4188.14191574,13297.232033,335.1545825,3852.9873332399998,1206.72743623,8944.45859324,12578.12819736,12578.12819736,412.86567453,559.21035352,1474.9335933900002,205.15783722,10928.43384694,11133.59168416,centro-oeste,11133.59168416,9300.39326916,764.05131176,10064.44458092,1069.1471032399998,4188.1419157400005,3852.98733324,9810.586257629999,1258.0509412899999,11068.637198919998,1.4062481329911056,0.20861576569857318,0.7904443202471564,0.46823872815569784,0.23697120518785608,0.06851663263152198,0.6350005281245918,1.8327136275122198,1.486644707936791,0.8084262558465395,30.465424890743826
ma2008,ma,2008,0,305.40941581,0,0,2310.55915631,1184.42136574,5699.62103829,810.4781333000001,6884.0424040299995,25.34835123,853.6635987000001,407.81287957999996,2981.2490024,7910.982615659998,402.37410716000005,2741.02964279,550.1243892019572,4108.225165075718,-308.2697073367049,167.72149196650741,-858.3940965386619,37932.402169330366,1.090961847308258,1.0648096119225634,1.0590272439065465,6305539,1671.7397653599999,2.78944529,2335.54425796,5659.04933863,333.10602044999996,2002.43823751,661.0150473099999,5836.92562042,4375.91427258,4375.91427258,1354.39423316,-103.92386031000001,690.07621622,56.00391411,6677.8095915799995,6733.813505689999,nordeste,6733.813505689999,5291.80815871,879.01194993,6170.82010864,562.9933970499992,2335.54425796,2002.43823751,5699.62103829,1184.42136574,6884.0424040299995,0.7496950547512935,0.14657267552270037,0.8066030964262778,0.40013260573156734,0.38798396639251836,0.12400615054321212,0.49646509958469226,1.1863057629597626,0.9695256898310106,0.7204694176684765,3.2309014358178056
